prefecture,city,population
Gifu Prefecture,Mizunami,"38,730"
Shiga Prefecture,Mihara,"38,719"
Chiba ken,Isumi City,"38,594"
Fukushima Prefecture,Soma City,"38,556"
Fukushima Prefecture,Tamura,"38,503"
Fukuoka Prefecture,Miyama City,"38,139"
Iwate Prefecture,Ofunato,"38,058"
Hyōgo Prefecture,Shiso,"37,773"
Shizuoka Prefecture,Atami,"37,544"
Niigata Prefecture,Uonuma,"37,352"
Nagasaki Prefecture,Goto City,"37,327"
Chiba ken,Sosa,"37,261"
Tokushima,Awa-shi,"37,202"
Kumamoto Prefecture,Uto,"37,026"
Hiroshima,Shobara-shi,"37,000"
Okayama Prefecture,Setouchi City,"36,975"
Yamagata Prefecture,Shinjo,"36,894"
Ehime Prefecture,Iyo-shi,"36,827"
Iwate Prefecture,Kamaishi City,"36,802"
Nara Prefecture,Katsuragi-shi,"36,635"
Oita Prefecture,Bungoono City,"36,584"
Kagoshima prefecture,SONOI-SHI,"36,557"
Niigata Prefecture,Ojiya city,"36,498"
Hokkaido,Wakkanai,"36,380"
Kagoshima prefecture,Minami Kyushu,"36,352"
Iwate Prefecture,Kuji,"35,642"
Yamaguchi Prefecture,Nagato,"35,439"
Kagoshima prefecture,Minami Satsuma,"35,439"
Miyagi Prefecture,Shiroishi City,"35,272"
Gifu Prefecture,Kaizu,"35,206"
Okayama Prefecture,Bizen,"35,179"
Shimane Prefecture,Ota-shi,"35,166"
Yamanashi Prefecture,Yamanashi,"35,141"
Hokkaido,Date City,"34,995"
Ehime Prefecture,Yawatahama,"34,951"
Ibaraki Prefecture,Megao,"34,909"
Fukuoka Prefecture,Okawa-shi,"34,838"
Ehime Prefecture,Tozen city,"34,613"
Kochi Prefecture,Shimanto City,"34,313"
Aomori Prefecture,Kuroishi City,"34,284"
Oita Prefecture,Yufu,"34,262"
Okayama Prefecture,Asakuchi,"34,235"
Ishikawa Prefecture,Kahoku,"34,219"
Tottori prefecture,Sakaiminato,"34,174"
Gifu Prefecture,Hon's city,"33,995"
Chiba ken,Kamogawa,"33,932"
Kumamoto Prefecture,Hitoyoshi,"33,880"
Kyoto,Ayabe,"33,821"
Gifu Prefecture,Gero city,"33,585"
Tochigi Prefecture,Yaita,"33,354"
Aomori Prefecture,Tsugaru City,"33,316"
Akita,Hokuto Akita,"33,224"
Niigata Prefecture,Myoko city,"33,199"
Kyoto,Nantan City,"33,145"
Fukui Prefecture,Oono,"33,109"
Akita,TAGOKU-SHI,"33,083"
Kochi Prefecture,Konan City,"32,961"
Yamaguchi Prefecture,Yanai,"32,945"
Kagawa Prefecture,Zentsuji,"32,927"
Nagano Prefecture,Komagane-shi,"32,759"
Toyama Prefecture,Namerikawa,"32,755"
Shizuoka Prefecture,Omaezaki,"32,578"
Yamagata Prefecture,Nanyo,"32,285"
Aomori Prefecture,Hirakawa City,"32,106"
Okayama Prefecture,Takahashi,"32,075"
Akita,Kazuno,"32,038"
Yamanashi Prefecture,Tsuru,"32,002"
Nagasaki Prefecture,Hirado,"31,920"
Saga Prefecture,Kanzaki,"31,842"
Yamanashi Prefecture,Koshu,"31,671"
Yamagata Prefecture,Kamiyama,"31,569"
Kagoshima prefecture,Shibushi,"31,479"
Nagasaki Prefecture,Tsushima,"31,457"
Shizuoka Prefecture,Izu-shi,"31,317"
Yamanashi Prefecture,Central city,"31,124"
Nara Prefecture,Uba,"31,105"
Kagawa Prefecture,Higashikagawa City,"31,311"
Nara Prefecture,Gogo City,"30,997"
Fukushima Prefecture,Honma,"30,924"
Hyōgo Prefecture,ASAGO-SHI,"30,805"
Miyazaki,Saito,"30,683"
Yamanashi Prefecture,Nirasaki,"30,680"
Okayama Prefecture,Niimi,"30,658"
Tokushima,Mima-shi,"30,501"
Toyama Prefecture,Oyabe-shi,"30,399"
Niigata Prefecture,Wessai city,"30,198"
Oita Prefecture,Kitsuki-shi,"30,185"
Miyagi Prefecture,Kakuda,"30,180"
Hyōgo Prefecture,Aioi,"30,129"
Nagano Prefecture,Tōgi City,"30,107"
Saga Prefecture,Kashima-shi,"29,684"
Fukui Prefecture,Obama,"29,670"
Ibaraki Prefecture,Takahagi,"29,638"
Fukuoka Prefecture,Ukiha-shi,"29,509"
Hiroshima,Aki Takada City,"29,488"
Wakayama Prefecture,Shingu City,"29,331"
Kagoshima prefecture,Ichikikushikino-shi,"29,282"
Ibaraki Prefecture,Itako-shi,"29,111"
Hokkaido,Nayoro,"29,048"
Fukui Prefecture,Awara-shi,"28,729"
Nagasaki Prefecture,Saikai,"28,691"
Oita Prefecture,Kunisaki,"28,647"
Wakayama Prefecture,Arita-shi,"28,470"
Akita,Oga-shi,"28,375"
Fukuoka Prefecture,Miyawakaichi,"28,112"
Iwate Prefecture,Tono-shi,"28,062"
Nagano Prefecture,Omachi,"28,041"
Okayama Prefecture,Mimasaka,"27,977"
Hiroshima,Ootake,"27,865"
Niigata Prefecture,Kamo shi,"27,852"
Yamagata Prefecture,Nagai-shi,"27,757"
Iwate Prefecture,Ninohe city,"27,611"
Akita,Semboku,"27,523"
Kochi Prefecture,Kami-shi,"27,513"
Saga Prefecture,Ureshino,"27,366"
Ishikawa Prefecture,Wajima,"27,216"
Gifu Prefecture,Yamagata,"27,114"
Nagasaki Prefecture,Iki shi,"27,103"
Tochigi Prefecture,Nasu Osan-shi,"27,047"
Kochi Prefecture,Tosa-shi,"27,038"
Kumamoto Prefecture,Aso city,"27,018"
Kumamoto Prefecture,Uesakusa,"27,006"
Hokkaido,Nemuro-shi,"26,917"
Nara Prefecture,Gosho-shi,"26,868"
Tokushima,Miyoshi City,"26,836"
Kagoshima prefecture,Isa-shi,"26,810"
Hiroshima,Takehara,"26,426"
Iwate Prefecture,Hachimantairi,"26,355"
Yamaguchi Prefecture,Misaki,"26,159"
Fukuoka Prefecture,Buzen,"25,940"
Yamanashi Prefecture,Otsuki,"25,419"
Kumamoto Prefecture,Minamata City,"25,411"
Akita,Nakaho-shi,"25,324"
Yamanashi Prefecture,Uenohara-shi,"24,805"
Wakayama Prefecture,Gobo,"24,801"
Gifu Prefecture,Hida City,"24,696"
Yamagata Prefecture,Murayama,"24,684"
Shimane Prefecture,Gotsu,"24,468"
Hiroshima,Etajima,"24,339"
Hyōgo Prefecture,Adoptive city,"24,288"
Fukui Prefecture,Katsuyama,"24,125"
Nagasaki Prefecture,Matsuura,"23,309"
Hokkaido,Monbetsu,"23,109"
Hokkaido,Bibai,"23,035"
Hokkaido,Furano City,"22,936"
Shizuoka Prefecture,Shimoda,"22,916"
Oita Prefecture,Bungotakada,"22,853"
Kochi Prefecture,Susaki,"22,606"
Oita Prefecture,Takeda-shi,"22,332"
Hokkaido,Rumoi,"22,221"
Kagoshima prefecture,Makurazaki,"22,046"
Hokkaido,Shenzhen,"21,909"
Ishikawa Prefecture,Hakui,"21,729"
Nagano Prefecture,Iiyama-shi,"21,438"
Kagoshima prefecture,Akune,"21,198"
Kochi Prefecture,Sukumo,"20,907"
Gifu Prefecture,Mino,"20,760"
Hokkaido,Sobetsu-shi,"19,914"
Iwate Prefecture,Rikuzentakata city,"19,758"
Saga Prefecture,Taku City,"19,749"
Miyazaki,Ebino City,"19,538"
Mie Prefecture,Toba,"19,448"
Chiba ken,Katsuura,"19,248"
Miyazaki,Kushima-shi,"18,779"
Kyoto,Miyazu,"18,426"
Mie Prefecture,Owase City,"18,009"
Oita Prefecture,Tsukumi,"17,969"
Hokkaido,Sunagawa-shi,"17,694"
Kochi Prefecture,Aki-shi,"17,577"
Mie Prefecture,Kumano-shi,"17,322"
Yamagata Prefecture,Ozawaza,"16,953"
Kagoshima prefecture,Nishinooma,"15,967"
Kagoshima prefecture,Tarumi,"15,520"
Hokkaido,Ashibetsu,"14,676"
Ishikawa Prefecture,Suzu City,"14,625"
Kochi Prefecture,Tosashimizu,"13,778"
Kochi Prefecture,Muroto,"13,524"
Hokkaido,Akabane,"11,105"
Hokkaido,Mikasa City,"9,076"
Hokkaido,Yubari,"8,843"
Hokkaido,Utashinaichi,"3,583"
